Sno,Candidate,Constituency âˆ‡,Party,Criminal Case,Education,Total Assets,Liabilities
25,RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,"Rs 2,18,21,443  ~ 2 Crore+","Rs 3,00,000  ~ 3 Lacs+"
26,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 1,30,15,000  ~ 1 Crore+",Rs 0  ~
27,MIRZA MEHBOOB BEG,Anantnag,JKN,0,Graduate Professional,"Rs 48,50,000  ~ 48 Lacs+",Rs 0  ~
30,JAGATHRAKSHAKAN,Arakkonam,DMK,0,10th Pass,"Rs 5,91,06,399  ~ 5 Crore+",Rs 0  ~
31,V. Kishore Chandra Deo,Araku,INC,0,Post Graduate,"Rs 24,74,10,000  ~ 24 Crore+",Rs 0  ~
32,SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,"Rs 24,15,310  ~ 24 Lacs+","Rs 1,08,000  ~ 1 Lacs+"
33,KRISHNASAMY M,Arani,INC,0,Graduate Professional,"Rs 6,23,85,765  ~ 6 Crore+","Rs 1,67,92,067  ~ 1 Crore+"
35,Meena Singh,Arrah,JD(U),0,Graduate,"Rs 4,24,36,500  ~ 4 Crore+",Rs 0  ~
36,NINONG ERING,Arunachal East,INC,0,Graduate,"Rs 10,43,20,000  ~ 10 Crore+","Rs 12,51,784  ~ 12 Lacs+"
37,TAKAM SANJOY,Arunachal West,INC,0,Graduate,"Rs 2,41,37,021  ~ 2 Crore+",Rs 0  ~
38,BANSAGOPAL CHOWDHURY,Asansol,CPM,0,Graduate,"Rs 14,23,763  ~ 14 Lacs+",Rs 0  ~
43,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rs 2,52,97,068  ~ 2 Crore+",Rs 0  ~
45,DHARMENDRA YADAV,Badaun,SP,0,Post Graduate,"Rs 56,82,299  ~ 56 Lacs+","Rs 98,000  ~ 98 Thou+"
46,GADDIGOUDAR P C,Bagalkot,BJP,0,Graduate Professional,"Rs 1,67,62,000  ~ 1 Crore+","Rs 66,74,134  ~ 66 Lacs+"
47,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 5,82,32,462  ~ 5 Crore+","Rs 13,077  ~ 13 Thou+"
50,Srikanta Kumar Jena,Balasore,INC,0,Graduate,"Rs 59,79,551  ~ 59 Lacs+","Rs 8,62,820  ~ 8 Lacs+"
51,NEERAJ SHEKHAR,Ballia,SP,0,Graduate,"Rs 2,77,18,262  ~ 2 Crore+","Rs 1,51,00,000  ~ 1 Crore+"
52,Prasanta Kumar Majumdar,Balurghat,RSP,0,Post Graduate,"Rs 16,76,454  ~ 16 Lacs+",Rs 0  ~
53,MUKESH BHAIRAVDANJI GADHAVI,Banaskantha,INC,0,Graduate,"Rs 2,26,94,764  ~ 2 Crore+",Rs 0  ~
56,D.B. Chandre Gowda,Bangalore North,BJP,0,Graduate Professional,"Rs 2,08,40,751  ~ 2 Crore+",Rs 0  ~
58,Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,"Rs 1,22,06,366  ~ 1 Crore+",Rs 0  ~
59,GOBINDA CHANDRA NASKAR,Bangaon,AITC,0,Post Graduate,"Rs 25,49,515  ~ 25 Lacs+",Rs 0  ~
60,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 32,49,037  ~ 32 Lacs+",Rs 0  ~
61,Tara chand,Banswara,INC,0,Post Graduate,"Rs 65,18,752  ~ 65 Lacs+","Rs 11,22,163  ~ 11 Lacs+"
62,PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,"Rs 1,66,35,386  ~ 1 Crore+",Rs 0  ~
63,P.L.PUNIA,Barabanki,INC,0,Doctorate,"Rs 1,40,47,833  ~ 1 Crore+","Rs 9,95,370  ~ 9 Lacs+"
64,SUPRIYA SULE,Baramati,NCP,0,Graduate,"Rs 51,53,63,663  ~ 51 Crore+",Rs 0  ~
65,SHARIEF UD DIN SHARIQ,Baramulla,JKN,0,Post Graduate,"Rs 1,19,55,000  ~ 1 Crore+","Rs 13,10,000  ~ 13 Lacs+"
66,KAKALI GHOSH DASTIDAR,Barasat,AITC,0,Graduate Professional,"Rs 1,25,76,309  ~ 1 Crore+","Rs 3,35,000  ~ 3 Lacs+"
67,ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,"Rs 74,72,944  ~ 74 Lacs+",Rs 0  ~
68,SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,"Rs 24,14,520  ~ 24 Lacs+","Rs 1,28,172  ~ 1 Lacs+"
70,Sanjay Bhoi,Bargarh,INC,0,Graduate,"Rs 17,00,000  ~ 17 Lacs+",Rs 0  ~
71,Harish choudhary,Barmer,INC,0,Graduate,"Rs 49,53,849  ~ 49 Lacs+","Rs 12,95,812  ~ 12 Lacs+"
72,ISMAIL HUSSAIN,Barpeta,INC,0,Post Graduate,"Rs 99,31,726  ~ 99 Lacs+",Rs 0  ~
73,DINESH TRIVEDI,Barrackpur,AITC,0,Post Graduate,"Rs 2,72,03,930  ~ 2 Crore+",Rs 0  ~
74,SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,"Rs 11,55,500  ~ 11 Lacs+","Rs 8,07,500  ~ 8 Lacs+"
75,Baliram Kashyap,Bastar,BJP,0,8th Pass,"Rs 99,48,590  ~ 99 Lacs+","Rs 11,66,014  ~ 11 Lacs+"
76,ARVIND KUMAR CHAUDHARY,Basti,BSP,0,12th Pass,"Rs 1,86,43,936  ~ 1 Crore+",Rs 0  ~
77,HARSIMRAT KAUR,Bathinda,SAD,0,10th Pass,"Rs 60,31,00,135  ~ 60 Crore+","Rs 13,800  ~ 13 Thou+"
79,DR. MONAZIR HASSAN,Begusarai,JD(U),0,Doctorate,"Rs 35,83,898  ~ 35 Lacs+","Rs 16,82,852  ~ 16 Lacs+"
81,J. SHANTHA,Bellary,BJP,0,12th Pass,"Rs 4,65,72,264  ~ 4 Crore+",Rs 0  ~
82,Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,"Rs 48,28,474  ~ 48 Lacs+","Rs 1,18,884  ~ 1 Lacs+"
83,JYOTI DHURVE,Betul,BJP,0,Post Graduate,"Rs 71,35,000  ~ 71 Lacs+","Rs 6,38,122  ~ 6 Lacs+"
84,GORAKHNATH,Bhadohi,BSP,0,Post Graduate,"Rs 1,01,58,748  ~ 1 Crore+","Rs 4,33,968  ~ 4 Lacs+"
85,Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,"Rs 1,10,61,000  ~ 1 Crore+","Rs 25,00,000  ~ 25 Lacs+"
86,SYED SHAHNAWAZ HUSSAIN,Bhagalpur,BJP,0,10th Pass,"Rs 74,72,000  ~ 74 Lacs+","Rs 1,01,000  ~ 1 Lacs+"
87,RATAN SINGH,Bharatpur,INC,0,Graduate Professional,"Rs 1,19,67,191  ~ 1 Crore+","Rs 3,35,314  ~ 3 Lacs+"
88,MANSUKHBHAI DHANJIBHAI VASAVA,Bharuch,BJP,0,Graduate,"Rs 24,41,000  ~ 24 Lacs+","Rs 8,33,462  ~ 8 Lacs+"
89,RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,0,Graduate Professional,"Rs 55,08,711  ~ 55 Lacs+",Rs 0  ~
90,C P JOSHI,Bhilwara,INC,0,Doctorate,"Rs 2,03,76,956  ~ 2 Crore+","Rs 14,00,000  ~ 14 Lacs+"
92,TAWARE SURESH KASHINATH,Bhiwandi,INC,0,Graduate,"Rs 10,90,39,952  ~ 10 Crore+","Rs 12,50,000  ~ 12 Lacs+"
93,SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,0,Graduate Professional,"Rs 16,72,66,000  ~ 16 Crore+","Rs 1,70,00,000  ~ 1 Crore+"
94,KOMATIREDDY RAJ GOPAL REDDY,Bhongir,INC,0,Graduate,"Rs 19,47,63,618  ~ 19 Crore+","Rs 60,57,899  ~ 60 Lacs+"
95,KAILASH JOSHI,Bhopal,BJP,0,10th Pass,"Rs 58,85,927  ~ 58 Lacs+",Rs 0  ~
96,Prasanna Kumar Patasani,Bhubaneswar,BJD,0,Post Graduate,"Rs 14,77,178  ~ 14 Lacs+",Rs 0  ~
98,Jigajinagi Ramesh Chandappa,Bijapur,BJP,0,Graduate,"Rs 1,17,53,725  ~ 1 Crore+","Rs 39,02,460  ~ 39 Lacs+"
99,SANJAY SINGH CHAUHAN,Bijnor,RLD,0,Graduate Professional,"Rs 3,53,52,625  ~ 3 Crore+","Rs 52,54,245  ~ 52 Lacs+"
100,ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,"Rs 25,63,467  ~ 25 Lacs+",Rs 0  ~
101,SATABDI ROY (BANERJEE),Birbhum,AITC,0,12th Pass,"Rs 1,31,48,000  ~ 1 Crore+","Rs 5,26,321  ~ 5 Lacs+"
102,Susmita Bauri,Bishnupur,CPM,0,Graduate Professional,"Rs 10,78,000  ~ 10 Lacs+","Rs 1,74,660  ~ 1 Lacs+"
104,RAM CHANDRA DOME,Bolpur,CPM,0,Graduate Professional,"Rs 7,39,396  ~ 7 Lacs+",Rs 0  ~
105,KAMLESH,Bulandshahr,SP,0,5th Pass,"Rs 8,44,005  ~ 8 Lacs+",Rs 0  ~
109,R.DHRUVANARAYANA,Chamarajanagar,INC,0,Post Graduate,"Rs 1,67,29,619  ~ 1 Crore+","Rs 38,96,431  ~ 38 Lacs+"
111,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rs 3,87,29,400  ~ 3 Crore+",Rs 0  ~
112,KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,"Rs 31,97,22,459  ~ 31 Crore+",Rs 0  ~
114,Inder Singh Namdhari,Chatra,IND,0,Graduate Professional,"Rs 2,12,77,657  ~ 2 Crore+",Rs 0  ~
115,RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,"Rs 2,79,66,678  ~ 2 Crore+",Rs 0  ~
116,Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,"Rs 5,61,50,333  ~ 5 Crore+","Rs 20,42,919  ~ 20 Lacs+"
117,RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,"Rs 1,05,01,785  ~ 1 Crore+","Rs 66,24,317  ~ 66 Lacs+"
119,M. Veerappa Moily,Chikkballapur,INC,0,Graduate,"Rs 2,93,74,446  ~ 2 Crore+","Rs 10,83,264  ~ 10 Lacs+"
121,JANARDHANA SWAMY,Chitradurga,BJP,0,Post Graduate,"Rs 2,28,36,000  ~ 2 Crore+",Rs 0  ~
122,NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,"Rs 60,11,000  ~ 60 Lacs+",Rs 0  ~
124,RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rs 2,74,03,097  ~ 2 Crore+",Rs 0  ~
125,NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,"Rs 17,67,722  ~ 17 Lacs+",Rs 0  ~
127,ALAGIRI S,Cuddalore,INC,0,Graduate,"Rs 1,18,66,846  ~ 1 Crore+","Rs 7,81,36,525  ~ 7 Crore+"
128,Bhartruhari Mahtab,Cuttack,BJD,0,Post Graduate,"Rs 5,07,93,831  ~ 5 Crore+",Rs 0  ~
130,PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,"Rs 68,23,687  ~ 68 Lacs+",Rs 0  ~
132,LALUBHAI PATEL,Daman & Diu,BJP,0,10th Pass,"Rs 3,68,79,385  ~ 3 Crore+","Rs 21,35,939  ~ 21 Lacs+"
133,SHIVRAJ BHAIYA,Damoh,BJP,0,12th Pass,"Rs 89,29,326  ~ 89 Lacs+","Rs 2,86,513  ~ 2 Lacs+"
135,Jaswant Singh,Darjeeling,BJP,0,Graduate,"Rs 8,35,71,845  ~ 8 Crore+","Rs 7,44,864  ~ 7 Lacs+"
136,Siddeswara.G.M,Davanagere,BJP,0,10th Pass,"Rs 14,02,48,867  ~ 14 Crore+","Rs 42,63,675  ~ 42 Lacs+"
137,GORAKH PRASAD JAISWAL,Deoria,BSP,0,10th Pass,"Rs 2,42,17,040  ~ 2 Crore+",Rs 0  ~
138,SAJJAN SINGH VERMA,Dewas,INC,0,Post Graduate,"Rs 2,70,42,325  ~ 2 Crore+","Rs 11,04,525  ~ 11 Lacs+"
140,GAJENDRASINGH RAJUKHEDI,Dhar,INC,0,Graduate Professional,"Rs 2,06,53,466  ~ 2 Crore+",Rs 0  ~
141,THAMARAISELVAN. R,Dharmapuri,DMK,0,Graduate Professional,"Rs 38,67,546  ~ 38 Lacs+","Rs 4,60,146  ~ 4 Lacs+"
142,Pralhad Joshi,Dharwad,BJP,0,Graduate,"Rs 1,44,12,674  ~ 1 Crore+","Rs 31,82,357  ~ 31 Lacs+"
143,KUNWAR JITIN PRASAD,Dhaurahra,INC,0,Post Graduate,"Rs 3,26,56,975  ~ 3 Crore+",Rs 0  ~
145,BADRUDDIN AJMAL,Dhubri,AUDF,0,Literate,"Rs 30,35,20,991  ~ 30 Crore+",Rs 0  ~
146,SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,"Rs 14,21,57,029  ~ 14 Crore+","Rs 65,81,693  ~ 65 Lacs+"
147,SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,"Rs 1,47,30,832  ~ 1 Crore+","Rs 1,57,500  ~ 1 Lacs+"
148,SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,"Rs 97,97,014  ~ 97 Lacs+",Rs 0  ~
149,CHITTHAN N S V,Dindigul,INC,0,Graduate,"Rs 1,70,35,764  ~ 1 Crore+",Rs 0  ~
152,SAUGATA RAY,Dum Dum,AITC,0,Post Graduate,"Rs 39,71,408  ~ 39 Lacs+",Rs 0  ~
154,SAROJ PANDEY,Durg,BJP,0,Post Graduate,"Rs 3,79,787  ~ 3 Lacs+","Rs 6,67,787  ~ 6 Lacs+"
155,SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,"Rs 1,81,46,428  ~ 1 Crore+","Rs 19,80,887  ~ 19 Lacs+"
156,KAVURI SAMBASIVA RAO,Eluru,INC,0,Graduate Professional,"Rs 12,60,50,111  ~ 12 Crore+","Rs 9,45,674  ~ 9 Lacs+"
157,Prof K V Thomas,Ernakulam,INC,0,Post Graduate,"Rs 1,50,41,664  ~ 1 Crore+","Rs 22,09,490  ~ 22 Lacs+"
160,NIRMAL KHATRI,Faizabad,INC,0,Doctorate,"Rs 66,70,000  ~ 66 Lacs+","Rs 5,771  ~ 5 Thou+"
162,PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,"Rs 1,42,08,609  ~ 1 Crore+","Rs 21,85,837  ~ 21 Lacs+"
163,SALMAN KHURSHEED,Farrukhabad,INC,0,Post Graduate,"Rs 2,61,40,421  ~ 2 Crore+","Rs 47,65,556  ~ 47 Lacs+"
164,SUKHDEV SINGH,Fatehgarh Sahib,INC,0,10th Pass,"Rs 1,70,83,247  ~ 1 Crore+",Rs 0  ~
166,SEEMA UPADHAYAY,Fatehpur Sikri,BSP,0,Graduate,"Rs 2,65,45,096  ~ 2 Crore+","Rs 15,95,708  ~ 15 Lacs+"
167,AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,"Rs 4,44,09,557  ~ 4 Crore+","Rs 77,26,354  ~ 77 Lacs+"
168,SHER SINGH GHUBAYA,Firozpur,SAD,0,10th Pass,"Rs 3,19,69,676  ~ 3 Crore+","Rs 36,98,744  ~ 36 Lacs+"
169,KOWASE MAROTRAO SAINUJI,Gadchiroli-Chimur,INC,0,Graduate,"Rs 1,07,76,756  ~ 1 Crore+","Rs 5,00,000  ~ 5 Lacs+"
171,BHARAT RAM MEGHWAL,Ganganagar,INC,0,Graduate Professional,"Rs 50,16,000  ~ 50 Lacs+","Rs 4,00,000  ~ 4 Lacs+"
172,SATPAL MAHARAJ,Garhwal,INC,0,12th Pass,"Rs 11,21,36,795  ~ 11 Crore+",Rs 0  ~
173,BIJOYA CHAKRAVARTY,Gauhati,BJP,0,Post Graduate,"Rs 18,70,000  ~ 18 Lacs+",Rs 0  ~
175,Hari Manjhi,Gaya,BJP,0,8th Pass,"Rs 14,71,374  ~ 14 Lacs+","Rs 3,89,075  ~ 3 Lacs+"
176,Gurudas Dasgupta,Ghatal,CPI,0,Post Graduate,"Rs 36,54,001  ~ 36 Lacs+",Rs 0  ~
181,NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,"Rs 10,10,37,987  ~ 10 Crore+",Rs 0  ~
182,BENI PRASAD VERMA,Gonda,INC,0,Graduate Professional,"Rs 2,01,83,574  ~ 2 Crore+","Rs 80,932  ~ 80 Thou+"
185,Mallikarjun Kharge,Gulbarga,INC,0,Graduate Professional,"Rs 5,06,46,533  ~ 5 Crore+","Rs 55,08,946  ~ 55 Lacs+"
186,JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,"Rs 14,90,94,212  ~ 14 Crore+",Rs 0  ~
188,PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,"Rs 6,80,53,249  ~ 6 Crore+","Rs 1,00,000  ~ 1 Lacs+"
189,INDERJIT SINGH,Gurgaon,INC,0,Graduate Professional,"Rs 6,73,83,257  ~ 6 Crore+","Rs 96,692  ~ 96 Thou+"
190,RAM SUNDAR DAS,Hajipur,JD(U),0,10th Pass,"Rs 27,96,489  ~ 27 Lacs+","Rs 11,16,705  ~ 11 Lacs+"
191,VIJAY BAHADUR SINGH,Hamirpur,BSP,0,Graduate Professional,"Rs 4,29,56,873  ~ 4 Crore+","Rs 6,23,689  ~ 6 Lacs+"
192,ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,"Rs 2,41,50,103  ~ 2 Crore+","Rs 25,04,550  ~ 25 Lacs+"
193,USHA VERMA,Hardoi,SP,0,Post Graduate,"Rs 1,01,11,699  ~ 1 Crore+","Rs 5,00,000  ~ 5 Lacs+"
195,H. D. Devegowda,Hassan,JD(S),0,Others,"Rs 1,96,24,664  ~ 1 Crore+","Rs 64,99,000  ~ 64 Lacs+"
196,SARIKA SINGH,Hathras,RLD,0,Post Graduate,"Rs 8,25,272  ~ 8 Lacs+",Rs 0  ~
197,SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,0,10th Pass,"Rs 22,53,785  ~ 22 Lacs+","Rs 1,04,341  ~ 1 Lacs+"
198,SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,0,Graduate,"Rs 32,33,61,935  ~ 32 Crore+","Rs 3,38,33,437  ~ 3 Crore+"
200,KRISTAPPA NIMMALA,Hindupur,TDP,0,Graduate,"Rs 1,59,17,465  ~ 1 Crore+","Rs 12,16,390  ~ 12 Lacs+"
202,BHAJAN LAL,Hisar,HJC(BL),0,12th Pass,"Rs 6,51,13,381  ~ 6 Crore+","Rs 73,54,075  ~ 73 Lacs+"
203,RATNA DE,Hooghly,AITC,0,Graduate Professional,"Rs 87,30,448  ~ 87 Lacs+",Rs 0  ~
204,UDAY PRATAP SINGH,Hoshangabad,INC,0,Graduate,"Rs 3,99,06,000  ~ 3 Crore+","Rs 13,74,065  ~ 13 Lacs+"
205,SANTOSH CHOWDHARY,Hoshiarpur,INC,0,Graduate Professional,"Rs 2,68,16,253  ~ 2 Crore+",Rs 0  ~
208,Adv P T Thomas,Idukki,INC,0,Post Graduate,"Rs 39,84,094  ~ 39 Lacs+","Rs 4,48,284  ~ 4 Lacs+"
209,SUMITRA MAHAJAN (TAI),Indore,BJP,0,Post Graduate,"Rs 79,74,006  ~ 79 Lacs+","Rs 44,29,400  ~ 44 Lacs+"
210,DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,"Rs 16,39,200  ~ 16 Lacs+",Rs 0  ~
211,RAKESH SINGH,Jabalpur,BJP,0,Graduate,"Rs 92,31,699  ~ 92 Lacs+","Rs 10,545  ~ 10 Thou+"
212,KABIR SUMAN,Jadavpur,AITC,0,Graduate,"Rs 32,06,685  ~ 32 Lacs+",Rs 0  ~
213,Bibhu Prasad Tarai,Jagatsinghpur,CPI,0,Post Graduate,"Rs 44,60,251  ~ 44 Lacs+","Rs 43,000  ~ 43 Thou+"
214,MAHESH JOSHI,Jaipur,INC,0,Doctorate,"Rs 1,03,88,500  ~ 1 Crore+","Rs 12,45,000  ~ 12 Lacs+"
215,LAL CHAND KATARIA,Jaipur Rural,INC,0,10th Pass,"Rs 3,06,50,401  ~ 3 Crore+","Rs 7,02,835  ~ 7 Lacs+"
216,Mohan Jena,Jajpur,BJD,0,Post Graduate,"Rs 30,46,404  ~ 30 Lacs+",Rs 0  ~
217,MOHINDER SINGH KAYPEE,Jalandhar,INC,0,Graduate Professional,"Rs 4,81,96,591  ~ 4 Crore+","Rs 1,25,000  ~ 1 Lacs+"
219,A.T. NANA PATIL,Jalgaon,BJP,0,Graduate,"Rs 10,38,39,607  ~ 10 Crore+","Rs 92,00,000  ~ 92 Lacs+"
221,DEV JI PATEL,Jalore,BJP,0,10th Pass,"Rs 1,12,61,830  ~ 1 Crore+",Rs 0  ~
222,Mahendra Kumar Roy,Jalpaiguri,CPM,0,Graduate Professional,"Rs 28,78,591  ~ 28 Lacs+",Rs 0  ~
224,VIKRAMBHAI ARJANBHAI MADAM,Jamnagar,INC,0,Graduate,"Rs 1,55,90,109  ~ 1 Crore+","Rs 4,00,000  ~ 4 Lacs+"
226,BHUDEO CHOUDHARY,Jamui,JD(U),0,Graduate Professional,"Rs 40,79,000  ~ 40 Lacs+","Rs 2,89,192  ~ 2 Lacs+"
227,PRANAB MUKHERJEE,Jangipur,INC,0,Doctorate,"Rs 2,69,20,479  ~ 2 Crore+",Rs 0  ~
228,Kamaladevi Patale,Janjgir-Champa,BJP,0,12th Pass,"Rs 35,56,426  ~ 35 Lacs+","Rs 80,000  ~ 80 Thou+"
230,DR. TARUN MONDAL,Jaynagar,IND,0,Graduate Professional,"Rs 18,56,636  ~ 18 Lacs+","Rs 5,600  ~ 5 Thou+"
231,DUSHYANT SINGH,Jhalawar-Baran,BJP,0,Post Graduate,"Rs 6,41,10,900  ~ 6 Crore+","Rs 27,79,153  ~ 27 Lacs+"
234,Pulin Bihari Baske,Jhargram,CPM,0,Graduate Professional,"Rs 14,84,298  ~ 14 Lacs+",Rs 0  ~
235,CHANDRESH KUMARI,Jodhpur,INC,0,12th Pass,"Rs 13,28,81,067  ~ 13 Crore+","Rs 60,744  ~ 60 Thou+"
236,BIJOY KRISHNA HANDIQUE,Jorhat,INC,0,Post Graduate,"Rs 1,54,28,123  ~ 1 Crore+",Rs 0  ~
239,Y.S. Jagan Mohan Reddy,Kadapa,INC,0,Graduate,"Rs 72,81,51,658  ~ 72 Crore+","Rs 6,63,96,966  ~ 6 Crore+"
240,TABASSUM BEGAM,Kairana,BSP,0,10th Pass,"Rs 1,16,67,328  ~ 1 Crore+",Rs 0  ~
242,M M Pallamraju,Kakinada,INC,0,Post Graduate,"Rs 6,55,89,882  ~ 6 Crore+","Rs 11,12,763  ~ 11 Lacs+"
244,DIP GOGOI,Kaliabor,INC,0,Graduate,"Rs 25,39,058  ~ 25 Lacs+",Rs 0  ~
247,VISWANATHAN.P,Kancheepuram,INC,0,Graduate,"Rs 56,85,495  ~ 56 Lacs+","Rs 22,46,494  ~ 22 Lacs+"
248,Rudra Madhab Ray,Kandhamal,BJD,0,Graduate,"Rs 43,87,647  ~ 43 Lacs+","Rs 5,66,588  ~ 5 Lacs+"
249,DR. RAJAN SUSHANT,Kangra,BJP,0,Graduate Professional,"Rs 1,10,24,873  ~ 1 Crore+","Rs 24,88,285  ~ 24 Lacs+"
250,Sohan Potai,Kanker,BJP,0,Post Graduate,"Rs 82,61,296  ~ 82 Lacs+",Rs 0  ~
251,AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,"Rs 4,85,82,202  ~ 4 Crore+","Rs 77,26,354  ~ 77 Lacs+"
252,HELEN DAVIDSON J,Kanniyakumari,DMK,0,Post Graduate,"Rs 4,84,55,728  ~ 4 Crore+","Rs 21,23,538  ~ 21 Lacs+"
254,SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,"Rs 3,07,67,980  ~ 3 Crore+",Rs 0  ~
257,KHILADI LAL BAIRWA,Karauli-Dholpur,INC,0,Graduate,"Rs 6,28,02,340  ~ 6 Crore+","Rs 56,93,479  ~ 56 Lacs+"
258,Lalit Mohan Suklabaidya,Karimganj,INC,0,Post Graduate,"Rs 46,44,049  ~ 46 Lacs+",Rs 0  ~
259,Ponnam Prabhakar,Karimnagar,INC,0,Graduate Professional,"Rs 12,87,000  ~ 12 Lacs+",Rs 0  ~
260,ARVIND KUMAR SHARMA,Karnal,INC,0,Post Graduate,"Rs 1,90,71,256  ~ 1 Crore+",Rs 0  ~
264,SHAILENDRA KUMAR,Kaushambi,SP,0,Graduate,"Rs 2,08,00,327  ~ 2 Crore+",Rs 0  ~
265,Baijayant Panda,Kendrapara,BJD,0,Graduate Professional,"Rs 16,11,00,792  ~ 16 Crore+","Rs 4,51,767  ~ 4 Lacs+"
268,DINESH CHANDRA YADAV,Khagaria,JD(U),0,Others,"Rs 63,05,253  ~ 63 Lacs+","Rs 15,922  ~ 15 Thou+"
269,JEETENDRA SINGH,Khajuraho,BJP,0,Post Graduate,"Rs 1,05,96,506  ~ 1 Crore+",Rs 0  ~
270,Nama Nageswara Rao,Khammam,TDP,0,12th Pass,"Rs 1,73,75,08,117  ~ 173 Crore+",Rs 0  ~
272,MAKNSINGH SOLANKI (BABUJI),Khargone,BJP,0,5th Pass,"Rs 58,38,265  ~ 58 Lacs+","Rs 2,04,826  ~ 2 Lacs+"
273,DINSHA ZAVARBHAI PATEL,Kheda,INC,0,10th Pass,"Rs 2,30,65,019  ~ 2 Crore+","Rs 34,80,352  ~ 34 Lacs+"
