Sno,Name (Party),Total Assets in Lok Sabha 2009,Total Assets in Lok Sabha 2004,Asset Increase,% Increase in Asset,Remarks
157,CHANDRPAL SINGH YADAV (SP),"1,20,91,752 1 Crore+","53,07,820 53 Lacs+","67,83,932 67 Lacs+",128%,Age Difference=2
158,SUKHDEV SINGH (INC),"1,70,83,247 1 Crore+","1,03,32,944 1 Crore+","67,50,303 67 Lacs+",65%,PAN was missing last time Party in last election was SAD
159,Pralhad Joshi (BJP),"1,44,12,674 1 Crore+","77,60,188 77 Lacs+","66,52,486 66 Lacs+",86%,
160,RAJEN GOHAIN (BJP),"1,02,10,891 1 Crore+","36,79,236 36 Lacs+","65,31,655 65 Lacs+",178%,
161,Jigajinagi Ramesh Chandappa (BJP),"1,17,53,725 1 Crore+","54,80,600 54 Lacs+","62,73,125 62 Lacs+",114%,PAN was missing last time
162,Sohan Potai (BJP),"82,61,296 82 Lacs+","21,13,856 21 Lacs+","61,47,440 61 Lacs+",291%,Age Difference=2
163,DR. SHAFIQUR RAHMAN BARQ (BSP),"70,59,763 70 Lacs+","13,49,151 13 Lacs+","57,10,612 57 Lacs+",423%,PAN was missing last time Party in last election was SP
164,RAGHUNATH JHA (RJD),"1,69,64,767 1 Crore+","1,12,67,189 1 Crore+","56,97,578 56 Lacs+",51%,Age Difference=-3 PAN is Different
165,MADAN LAL SHARMA (INC),"1,18,82,734 1 Crore+","62,17,000 62 Lacs+","56,65,734 56 Lacs+",91%,PAN was missing last time
166,HANNAN MOLLAH (CPM),"62,08,199 62 Lacs+","6,21,879 6 Lacs+","55,86,320 55 Lacs+",898%,
167,AHIR HANSARAJ GANGARAM (BJP),"80,84,050 80 Lacs+","26,53,960 26 Lacs+","54,30,090 54 Lacs+",205%,
168,Asaduddin Owaisi (AIMIM),"93,02,233 93 Lacs+","39,02,342 39 Lacs+","53,99,891 53 Lacs+",138%,PAN is Different
169,SHRIPAD YESSO NAIK (BJP),"98,97,462 98 Lacs+","45,37,329 45 Lacs+","53,60,133 53 Lacs+",118%,
170,MD. SALIM (CPM),"84,56,467 84 Lacs+","31,09,485 31 Lacs+","53,46,982 53 Lacs+",172%,PAN was missing last time
171,MUTTEMWAR VILASRAO BABURAOJI (INC),"1,53,02,294 1 Crore+","1,00,20,540 1 Crore+","52,81,754 52 Lacs+",53%,
172,SONIA GANDHI (INC),"1,37,94,768 1 Crore+","85,68,694 85 Lacs+","52,26,074 52 Lacs+",61%,
173,Ananthkumar Hegde (BJP),"64,27,192 64 Lacs+","12,06,000 12 Lacs+","52,21,192 52 Lacs+",433%,
174,CHAVAN HARISHCHANDRA DEORAM (BJP),"85,15,581 85 Lacs+","33,12,291 33 Lacs+","52,03,290 52 Lacs+",157%,
175,MANVENDRA SINGH (BJP),"98,10,062 98 Lacs+","46,56,839 46 Lacs+","51,53,223 51 Lacs+",111%,
176,NANDKUMAR SING CHAUHAN NANDU BHAIYA (BJP),"95,56,053 95 Lacs+","45,10,192 45 Lacs+","50,45,861 50 Lacs+",112%,Age Difference=9
177,DAROGA PRASAD SAROJ (SP),"55,73,553 55 Lacs+","6,14,485 6 Lacs+","49,59,068 49 Lacs+",807%,
178,GANESH SINGH (BJP),"73,72,032 73 Lacs+","25,48,143 25 Lacs+","48,23,889 48 Lacs+",189%,PAN was missing last time
179,CHANDRAKANT KHAIRE (SHS),"1,41,51,539 1 Crore+","93,33,773 93 Lacs+","48,17,766 48 Lacs+",52%,PAN was missing last time
180,ASHOK KUMAR RAWAT (BSP),"62,21,049 62 Lacs+","14,19,108 14 Lacs+","48,01,941 48 Lacs+",338%,
181,ASHOK ARGAL (BJP),"79,72,241 79 Lacs+","32,20,504 32 Lacs+","47,51,737 47 Lacs+",148%,
182,SITARAM YADAV (RJD),"94,40,339 94 Lacs+","48,05,008 48 Lacs+","46,35,331 46 Lacs+",96%,
183,BHUVNESHWAR PRASAD MEHTA (CPI),"55,39,578 55 Lacs+","9,70,342 9 Lacs+","45,69,236 45 Lacs+",471%,PAN was missing last time
184,MADHUSUDAN DEVRAM MISTRY (INC),"63,06,522 63 Lacs+","18,26,173 18 Lacs+","44,80,349 44 Lacs+",245%,
185,SHIBU SOREN (JMM),"82,29,419 82 Lacs+","37,76,022 37 Lacs+","44,53,397 44 Lacs+",118%,
186,CHANDRASHEKHAR DUBEY (INC),"1,46,81,276 1 Crore+","1,02,50,582 1 Crore+","44,30,694 44 Lacs+",43%,
187,SANTOSH GANGWAR (BJP),"1,14,33,609 1 Crore+","70,43,413 70 Lacs+","43,90,196 43 Lacs+",62%,
188,MAHENDRA PRASAD NISHAD (BSP),"54,23,876 54 Lacs+","10,82,468 10 Lacs+","43,41,408 43 Lacs+",401%,Age Difference=3 PAN was missing last time
189,HARIN PATHAK (BJP),"1,45,78,184 1 Crore+","1,02,87,931 1 Crore+","42,90,253 42 Lacs+",42%,PAN is Different
190,MUNSIRAM (RLD),"70,64,554 70 Lacs+","29,42,225 29 Lacs+","41,22,329 41 Lacs+",140%,
191,Sudam Marndi (JMM),"58,56,359 58 Lacs+","17,80,596 17 Lacs+","40,75,763 40 Lacs+",229%,PAN was missing last time
192,VIJAYAN A K S (DMK),"72,05,000 72 Lacs+","31,91,000 31 Lacs+","40,14,000 40 Lacs+",126%,PAN is Different
193,PALANIMANICKAM.S.S (DMK),"75,23,592 75 Lacs+","35,16,998 35 Lacs+","40,06,594 40 Lacs+",114%,
194,GRIDHARI YADAV (INC),"68,37,392 68 Lacs+","28,41,000 28 Lacs+","39,96,392 39 Lacs+",141%,PAN was missing last time Party in last election was RJD
195,LAL MANI PRASAD (BSP),"50,51,684 50 Lacs+","10,71,480 10 Lacs+","39,80,204 39 Lacs+",371%,Age Difference=3 PAN was missing last time
196,MAHAVEER BHAGORA (BJP),"69,34,001 69 Lacs+","30,26,777 30 Lacs+","39,07,224 39 Lacs+",129%,Age Difference=9
197,CHITTHAN N S V (INC),"1,70,35,764 1 Crore+","1,32,47,227 1 Crore+","37,88,537 37 Lacs+",29%,PAN was missing last time
198,CHANDER KUMAR (INC),"1,10,71,942 1 Crore+","73,04,760 73 Lacs+","37,67,182 37 Lacs+",52%,
199,KRISHNAN C (MDMK),"63,58,792 63 Lacs+","26,86,691 26 Lacs+","36,72,101 36 Lacs+",137%,PAN was missing last time
200,RAVINDAR KR. RANA (RJD),"99,50,448 99 Lacs+","63,36,271 63 Lacs+","36,14,177 36 Lacs+",57%,
201,HARIKEWAL (SP),"66,19,949 66 Lacs+","30,37,000 30 Lacs+","35,82,949 35 Lacs+",118%,
202,SUMITRA MAHAJAN (TAI) (BJP),"79,74,006 79 Lacs+","44,22,500 44 Lacs+","35,51,506 35 Lacs+",80%,
203,RAM VILAS PASWAN (LJP),"1,18,38,791 1 Crore+","83,32,433 83 Lacs+","35,06,358 35 Lacs+",42%,PAN is Different Party in last election was LJNSP
204,NIKHIL KUMAR CHOUDHARY (BJP),"80,18,754 80 Lacs+","45,35,938 45 Lacs+","34,82,816 34 Lacs+",77%,Age Difference=2
205,SHRI CHAND KRIPLANI (BJP),"59,01,396 59 Lacs+","24,48,887 24 Lacs+","34,52,509 34 Lacs+",141%,PAN was missing last time
206,Braja Kishore Tripathy (BJP),"74,75,864 74 Lacs+","41,97,384 41 Lacs+","32,78,480 32 Lacs+",78%,PAN was missing last time Party in last election was BJD
207,JYOTIRMOYEE SIKDAR (CPM),"1,08,14,653 1 Crore+","75,45,592 75 Lacs+","32,69,061 32 Lacs+",43%,PAN is Different
208,SANSUMA KHUNGGUR BWISWMUTHIARY (BPF),"49,54,903 49 Lacs+","16,94,686 16 Lacs+","32,60,217 32 Lacs+",192%,Age Difference=7 Party in last election was IND
209,ALOK KUMAR MEHTA (RJD),"1,00,22,148 1 Crore+","67,94,434 67 Lacs+","32,27,714 32 Lacs+",48%,PAN is Different
210,KAILASH JOSHI (BJP),"58,85,927 58 Lacs+","26,95,080 26 Lacs+","31,90,847 31 Lacs+",118%,PAN is Different
211,RAJENDRASINH GHANSHYAMSINH RANA (BJP),"55,08,711 55 Lacs+","23,50,613 23 Lacs+","31,58,098 31 Lacs+",134%,
212,ANANT GEETE (SHS),"85,55,617 85 Lacs+","55,18,754 55 Lacs+","30,36,863 30 Lacs+",55%,PAN is Different
213,TARIT BARAN TOPDAR (CPM),"1,24,34,070 1 Crore+","94,53,015 94 Lacs+","29,81,055 29 Lacs+",32%,Age Difference=7 PAN is Different
214,RAJARAM PAL (INC),"44,00,000 44 Lacs+","14,71,113 14 Lacs+","29,28,887 29 Lacs+",199%,PAN was missing last time Party in last election was BSP
215,RAKESH SINGH (BJP),"92,31,699 92 Lacs+","63,27,291 63 Lacs+","29,04,408 29 Lacs+",46%,PAN is Different
216,SRI SARBANANDA SONOWAL (AGP),"48,46,140 48 Lacs+","20,38,397 20 Lacs+","28,07,743 28 Lacs+",138%,PAN was missing last time
217,KUNWAR SARVRAJ SINGH (BSP),"1,70,78,923 1 Crore+","1,42,81,673 1 Crore+","27,97,250 27 Lacs+",20%,PAN is Different Party in last election was JD(U)
218,MD. ALI ASHRAF FATMI (RJD),"48,52,469 48 Lacs+","20,71,240 20 Lacs+","27,81,229 27 Lacs+",134%,PAN was missing last time
219,DR. ARUN KR. SARMA (AGP),"42,19,423 42 Lacs+","14,67,028 14 Lacs+","27,52,395 27 Lacs+",188%,PAN was missing last time
220,Tathagata Satpathy (BJD),"55,15,930 55 Lacs+","27,75,930 27 Lacs+","27,40,000 27 Lacs+",99%,
221,Dawa Narbula (INC),"98,00,000 98 Lacs+","70,65,000 70 Lacs+","27,35,000 27 Lacs+",39%,PAN is Different
222,SADASHIVRAO MANDLIK DADOBA (IND),"1,15,52,012 1 Crore+","88,42,586 88 Lacs+","27,09,426 27 Lacs+",31%,Party in last election was NCP
223,FURKAN ANSARI (INC),"40,52,000 40 Lacs+","14,99,897 14 Lacs+","25,52,103 25 Lacs+",170%,Age Difference=9 PAN was missing last time
224,DR. RAJESH KUMAR MISHRA (INC),"37,89,522 37 Lacs+","12,41,800 12 Lacs+","25,47,722 25 Lacs+",205%,PAN was missing last time
225,BAJU BAN RIYAN (CPM),"36,95,981 36 Lacs+","11,88,586 11 Lacs+","25,07,395 25 Lacs+",211%,Age Difference=8
226,RAVI PRAKASH VERMA (SP),"53,89,781 53 Lacs+","29,16,963 29 Lacs+","24,72,818 24 Lacs+",85%,PAN was missing last time
227,PUSHP JAIN (BJP),"40,89,222 40 Lacs+","16,54,429 16 Lacs+","24,34,793 24 Lacs+",147%,PAN is Different
228,MITRASEN (SP),"77,88,600 77 Lacs+","53,80,516 53 Lacs+","24,08,084 24 Lacs+",45%,Party in last election was BSP
229,CHANDRA MANI TRIPATHI (BJP),"34,64,605 34 Lacs+","10,62,399 10 Lacs+","24,02,206 24 Lacs+",226%,PAN was missing last time
230,MAHA BEER PRASAD (INC),"1,13,23,938 1 Crore+","89,44,794 89 Lacs+","23,79,144 23 Lacs+",27%,
231,THAVARCHAND GEHLOT (BJP),"43,87,856 43 Lacs+","20,16,554 20 Lacs+","23,71,302 23 Lacs+",118%,PAN is Different
232,Dr.P. Pookunhikoya (NCP),"62,60,731 62 Lacs+","39,45,099 39 Lacs+","23,15,632 23 Lacs+",59%,PAN was missing last time Party in last election was JD(U)
233,SITARAM SINGH (RJD),"69,37,000 69 Lacs+","46,24,000 46 Lacs+","23,13,000 23 Lacs+",50%,
234,DIP GOGOI (INC),"25,39,058 25 Lacs+","3,42,751 3 Lacs+","21,96,307 21 Lacs+",641%,Age Difference=3
235,Mohan Jena (BJD),"30,46,404 30 Lacs+","8,70,000 8 Lacs+","21,76,404 21 Lacs+",250%,Age Difference=8 PAN was missing last time
236,KHAGEN DAS (CPM),"34,92,580 34 Lacs+","14,23,083 14 Lacs+","20,69,497 20 Lacs+",145%,Age Difference=7 PAN is Different
237,Adv Suresh Kurup (CPM),"38,66,004 38 Lacs+","18,18,560 18 Lacs+","20,47,444 20 Lacs+",113%,
238,BIJENDRA SINGH (INC),"49,13,000 49 Lacs+","28,92,600 28 Lacs+","20,20,400 20 Lacs+",70%,Age Difference=3 PAN was missing last time
239,JAI PARKASH (INC),"65,58,644 65 Lacs+","45,68,812 45 Lacs+","19,89,832 19 Lacs+",44%,
240,RASA SINGH RAWAT (BJP),"32,73,998 32 Lacs+","14,71,446 14 Lacs+","18,02,552 18 Lacs+",123%,
241,JAI PRAKASH (BSP),"1,83,81,208 1 Crore+","1,65,83,667 1 Crore+","17,97,541 17 Lacs+",11%,Age Difference=2 PAN is Different Party in last election was SP
242,KIREN RIJIJU (BJP),"82,95,139 82 Lacs+","65,11,344 65 Lacs+","17,83,795 17 Lacs+",27%,PAN was missing last time
243,Parsuram Majhi (BJP),"25,06,600 25 Lacs+","7,67,000 7 Lacs+","17,39,600 17 Lacs+",227%,
244,Suravaram Sudhakar Reddy (CPI),"37,24,417 37 Lacs+","19,90,000 19 Lacs+","17,34,417 17 Lacs+",87%,
245,Mahamegha Bahan Aira Kharabela Swain (BJP),"27,41,000 27 Lacs+","10,10,000 10 Lacs+","17,31,000 17 Lacs+",171%,PAN is missing this time
246,Babu Lal Marandi (JVM(P)),"21,37,675 21 Lacs+","5,00,000 5 Lacs+","16,37,675 16 Lacs+",328%,Party in last election was BJP
247,DEVENDRA PRASAD YADAV (RJD),"27,43,902 27 Lacs+","11,37,321 11 Lacs+","16,06,581 16 Lacs+",141%,Age Difference=0
248,Acharia Basudeb (CPM),"32,49,037 32 Lacs+","17,08,375 17 Lacs+","15,40,662 15 Lacs+",90%,PAN is Different
249,Chinta Mohan (INC),"55,12,900 55 Lacs+","39,82,900 39 Lacs+","15,30,000 15 Lacs+",38%,PAN was missing last time
250,SUJAN CHAKRABORTY (CPM),"25,44,611 25 Lacs+","10,46,232 10 Lacs+","14,98,379 14 Lacs+",143%,
251,DR. LAXMINARAYAN PANDEY (BJP),"41,01,337 41 Lacs+","26,50,506 26 Lacs+","14,50,831 14 Lacs+",55%,
252,BASUDEB BARMAN (CPM),"41,46,393 41 Lacs+","27,72,156 27 Lacs+","13,74,237 13 Lacs+",50%,
253,MANI CHARENAMEI (PDA),"15,50,089 15 Lacs+","2,05,000 2 Lacs+","13,45,089 13 Lacs+",656%,PAN was missing last time Party in last election was IND
254,RAGHUVANSH PRASAD SINGH (RJD),"61,69,238 61 Lacs+","48,71,420 48 Lacs+","12,97,818 12 Lacs+",27%,PAN is Different
255,AMITAVA NANDY (CPM),"42,15,717 42 Lacs+","29,35,137 29 Lacs+","12,80,580 12 Lacs+",44%,"PAN is Different bad_scan for movable asset in Lok Sabha 2009, bad_scan for immovable asset in Lok Sabha 2009,"
256,KISANBHAI VESTABHAI PATEL (INC),"15,20,245 15 Lacs+","2,79,461 2 Lacs+","12,40,784 12 Lacs+",444%,Age Difference=7 PAN was missing last time
257,ADITYA NATH (BJP),"21,82,212 21 Lacs+","9,60,672 9 Lacs+","12,21,540 12 Lacs+",127%,
258,Lalmuni choubey (BJP),"96,03,000 96 Lacs+","84,31,336 84 Lacs+","11,71,664 11 Lacs+",14%,
259,Prabhunath Singh (JD(U)),"44,47,753 44 Lacs+","32,96,840 32 Lacs+","11,50,913 11 Lacs+",35%,Age Difference=7 PAN was missing last time
260,BELLARMIN AV (CPM),"42,09,424 42 Lacs+","30,76,650 30 Lacs+","11,32,774 11 Lacs+",37%,PAN is Different
261,P Rajendran (CPM),"33,72,008 33 Lacs+","22,42,499 22 Lacs+","11,29,509 11 Lacs+",50%,PAN was missing last time
262,VIRENDRA KUMAR (BJP),"25,51,466 25 Lacs+","14,29,786 14 Lacs+","11,21,680 11 Lacs+",78%,PAN is Different
263,NIHAL CHAND (BJP),"33,40,188 33 Lacs+","22,82,422 22 Lacs+","10,57,766 10 Lacs+",46%,
264,BHANU PRATAP SINGH VERMA (BJP),"14,91,809 14 Lacs+","4,46,550 4 Lacs+","10,45,259 10 Lacs+",234%,
265,Susmita Bauri (CPM),"10,78,000 10 Lacs+","33,000 33 Thou+","10,45,000 10 Lacs+",3167%,PAN was missing last time
266,SWADESH CHAKRABORTTY (CPM),"25,74,975 25 Lacs+","15,45,667 15 Lacs+","10,29,308 10 Lacs+",67%,
267,Prabodh Panda (CPI),"22,30,746 22 Lacs+","12,97,328 12 Lacs+","9,33,418 9 Lacs+",72%,
268,MANSUKHBHAI DHANJIBHAI VASAVA (BJP),"24,41,000 24 Lacs+","15,83,619 15 Lacs+","8,57,381 8 Lacs+",54%,PAN was missing last time
269,TUFANI SAROJ (SP),"53,36,133 53 Lacs+","45,58,332 45 Lacs+","7,77,801 7 Lacs+",17%,Age Difference=3
270,ANWAR HUSSAIN (INC),"12,85,167 12 Lacs+","5,58,467 5 Lacs+","7,26,700 7 Lacs+",130%,PAN was missing last time
271,Ananta Nayak (BJP),"15,36,306 15 Lacs+","8,18,420 8 Lacs+","7,17,886 7 Lacs+",88%,PAN was missing last time
272,SANTASRI CHATTERJEE (CPM),"23,71,252 23 Lacs+","16,98,395 16 Lacs+","6,72,857 6 Lacs+",40%,
273,Adv P Satheedevi (CPM),"19,68,782 19 Lacs+","13,31,000 13 Lacs+","6,37,782 6 Lacs+",48%,
274,Dr K S Manoj (CPM),"14,35,185 14 Lacs+","8,00,231 8 Lacs+","6,34,954 6 Lacs+",79%,PAN is Different
275,BALESHWAR YADAV (INC),"75,09,000 75 Lacs+","69,07,100 69 Lacs+","6,01,900 6 Lacs+",9%,Party in last election was National Loktantrik Party
276,RAJESH KUMAR SINGH ALIAS RAJESH VERMA (BSP),"53,93,555 53 Lacs+","48,50,000 48 Lacs+","5,43,555 5 Lacs+",11%,PAN is Different
277,DR. THOKCHOM MEINYA (INC),"16,39,200 16 Lacs+","11,07,278 11 Lacs+","5,31,922 5 Lacs+",48%,Age Difference=3 PAN was missing last time
278,"PONNUSWAMY,E (PMK)","8,75,000 8 Lacs+","4,20,000 4 Lacs+","4,55,000 4 Lacs+",108%,
279,Lalit Mohan Suklabaidya (INC),"46,44,049 46 Lacs+","41,97,600 41 Lacs+","4,46,449 4 Lacs+",11%,PAN is Different
280,DR. SATYANARAYAN JATIYA (BJP),"31,88,630 31 Lacs+","27,94,387 27 Lacs+","3,94,243 3 Lacs+",14%,PAN was missing last time
281,RAM CHANDRA DOME (CPM),"7,39,396 7 Lacs+","4,09,541 4 Lacs+","3,29,855 3 Lacs+",81%,
282,DR SHAKEEL AHAMAD (INC),"21,15,000 21 Lacs+","18,59,000 18 Lacs+","2,56,000 2 Lacs+",14%,"PAN is Different unclear_handwriting for immovable asset in Lok Sabha 2009,"
283,BAGUN SUMBRUI (INC),"47,65,654 47 Lacs+","45,32,035 45 Lacs+","2,33,619 2 Lacs+",5%,Age Difference=2 PAN was missing last time
284,Midiyam Babu Rao (CPM),"7,07,000 7 Lacs+","5,42,000 5 Lacs+","1,65,000 1 Lacs+",30%,PAN was missing last time
285,Archana Nayak (BJP),"5,45,000 5 Lacs+","3,84,400 3 Lacs+","1,60,600 1 Lacs+",42%,Party in last election was BJD
286,EKNATH M. GAIKWAD (INC),"21,95,416 21 Lacs+","20,45,861 20 Lacs+","1,49,555 1 Lacs+",7%,PAN is Different
287,MAMATA BANERJEE (AITC),"4,73,194 4 Lacs+","3,75,489 3 Lacs+","97,705 97 Thou+",26%,
288,TASLEEMUDDIN (RJD),"55,53,212 55 Lacs+","55,25,834 55 Lacs+","27,378 27 Thou+",0%,
289,RAMADASS. M (PMK),"32,17,000 32 Lacs+","32,17,000 32 Lacs+",0,0%,Age Difference=0 PAN is Different
290,Gurudas Dasgupta (CPI),"36,54,001 36 Lacs+","36,68,778 36 Lacs+","-14,777",0%,PAN is Different
291,RUPCHAND PAL (CPM),"8,77,500 8 Lacs+","8,93,720 8 Lacs+","-16,220",-2%,
292,SAMIK LAHIRI (CPM),0,"2,32,000 2 Lacs+","-2,32,000",-100%,"PAN is missing this time page_missing for movable asset in Lok Sabha 2009, page_missing for immovable asset in Lok Sabha 2009,"
293,PRASANTA PRADHAN (CPM),"9,85,446 9 Lacs+","14,10,752 14 Lacs+","-4,25,306",-30%,PAN was missing last time
294,MANVENDRA SINGH (INC),"1,49,59,430 1 Crore+","1,53,87,530 1 Crore+","-4,28,100",-3%,PAN is Different
295,Joachim Baxla (IND),0,"4,85,800 4 Lacs+","-4,85,800",-100%,"PAN is missing this time Party in last election was RSP page_missing for movable asset in Lok Sabha 2009, page_missing for immovable asset in Lok Sabha 2009,"
296,RANJEET RANJAN (INC),"15,37,688 15 Lacs+","25,49,000 25 Lacs+","-10,11,312",-40%,Age Difference=1 PAN was missing last time Party in last election was LJNSP
297,RUBAB SAIDA (SP),"1,43,12,539 1 Crore+","1,53,46,459 1 Crore+","-10,33,920",-7%,PAN is Different
298,ILIYAS AZMI (BSP),"1,76,19,316 1 Crore+","1,96,83,626 1 Crore+","-20,64,310",-10%,
299,ADSUL ANANDRAO VITHOBA (SHS),"1,77,08,418 1 Crore+","2,06,30,019 2 Crore+","-29,21,601",-14%,PAN was missing last time
300,Prasanna Kumar Patasani (BJD),"14,77,178 14 Lacs+","44,41,581 44 Lacs+","-29,64,403",-67%,Age Difference=10
301,ANNAYYAGARI SAI PRATHAP (INC),"62,33,245 62 Lacs+","97,09,190 97 Lacs+","-34,75,945",-36%,PAN was missing last time
302,CH. LAL SINGH (INC),"17,62,378 17 Lacs+","54,00,000 54 Lacs+","-36,37,622",-67%,PAN was missing last time
303,Adv. K Francis George (KEC),"73,00,123 73 Lacs+","1,14,17,962 1 Crore+","-41,17,839",-36%,
304,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI (SP),"1,86,40,164 1 Crore+","2,28,37,000 2 Crore+","-41,96,836",-18%,PAN was missing last time
305,N.Y.Hanumanthappa (INC),"19,25,000 19 Lacs+","62,50,000 62 Lacs+","-43,25,000",-69%,
306,MOHAN SINGH (SP),"38,03,000 38 Lacs+","84,68,000 84 Lacs+","-46,65,000",-55%,Age Difference=0 PAN is Different
307,VITTAL RAO D (INC),"6,04,09,958 6 Crore+","6,50,75,830 6 Crore+","-46,65,872",-7%,PAN is Different
308,SURYAKANTA JAIWANTRAO PATIL (NCP),"1,01,48,451 1 Crore+","1,53,07,225 1 Crore+","-51,58,774",-34%,Age Difference=8
309,V Arun Kumar (INC),"1,30,73,077 1 Crore+","2,34,31,318 2 Crore+","-1,03,58,241",-44%,Age Difference=3 PAN is Different
310,DR. RATTAN SINGH AJNALA (SAD),"1,87,74,102 1 Crore+","2,95,16,341 2 Crore+","-1,07,42,239",-36%,
311,PRATIK PRAKASHBAPU PATIL (INC),"2,21,37,000 2 Crore+","3,56,35,000 3 Crore+","-1,34,98,000",-38%,Age Difference=-20 PAN is Different
312,Madhu Yaskhi Goud (INC),"11,91,08,338 11 Crore+","14,27,18,537 14 Crore+","-2,36,10,199",-17%,PAN was missing last time
313,Nikhil Kumar (INC),"4,95,38,249 4 Crore+","7,44,89,984 7 Crore+","-2,49,51,735",-33%,
314,S Bangarappa (INC),"67,54,817 67 Lacs+","3,33,02,318 3 Crore+","-2,65,47,501",-80%,Party in last election was BJP
315,MAGUNTA SRINIVASULU REDDY (INC),"10,20,65,901 10 Crore+","14,17,68,943 14 Crore+","-3,97,03,042",-28%,PAN was missing last time
Candidates who have problem in their last election affidavits,,,,,,
1,SACHIN PILOT (INC),"4,64,89,558 4 Crore+","25,55,000 25 Lacs+","4,39,34,558 4 Crore+",1720%,"PAN was missing last time bad_scan for movable asset in Lok Sabha 2004 , bad_scan for immovable asset in Lok Sabha 2004 ."
